oucode,court_centre_id,migrated,updated_on
B53DT00,003245ab-10cf-3145-8364-e30e72892d95,false,
B01KR00,0c28787f-536d-410c-ad22-ebb2810ec67a,false,
B01GU00,122b6b6b-6a6a-4f2f-8885-23ec28508e73,false,
B50VR00,48ed5a8b-cb31-3590-9aea-5a1a76a0dde8,false,
B22OS00,5d5bb965-e149-38fe-9f87-d34c30455e7e,false,
B46IR00,68c7e9af-2db7-3fc3-b6e8-e51653120790,false,
B05GP00,a1298789-f2e5-31da-b9a2-f9010ae35d5b,false,
B01FA00,b6a48a7e-8eb8-435d-8f93-1ef86a6daee2,false,
B01OK00,d9bff7d8-6168-4163-ad77-3b98d61de174,false,
B62DC00,153ac9f3-bf7a-3616-8749-bf44a749a470,false,
B01NM00,00277559-2bd9-42d4-b96e-a020f7a88297,false,
B54MW00,0f418409-301c-39df-89a2-f3989859f953,false,
B14ET00,1798a45e-310e-3919-9609-d5df7140f7c6,false,
B32BX00,1cedd568-dac5-3fd2-aff8-23e3db2a76da,false,
B20EB00,2608ebcc-d643-4260-8175-b8a24ac5cae5,false,
B52MY00,2c45bc8c-f4b3-3163-bf09-f32d80d4b6cb,false,
B01EF00,31b3d313-7a7c-4598-bb4b-c1bff9b00e26,false,
B31IT00,3edbef6e-e597-3488-b66d-23c50ff2572a,false,
B50AW00,40815e50-d721-30ce-9087-9846fb93e62c,false,
B46FO00,4260477e-88a5-34ec-8de8-be4591dd2ae0,false,
B52BB00,44e538a6-9127-352d-89bf-6e6cce1d3a26,false,
B01IX00,67aa82ba-67bb-4699-8176-5f572048352b,false,
B01LA00,9030abef-0f04-4b71-8e0f-d29841365ae2,false,
B23PP00,ebb1d244-8231-4729-9031-0bf15eddb5d7,false,
B11KF00,055be739-6467-35d2-b9e3-0080a2032bc9,false,
B01ND00,0d44a8b4-38e4-4eb3-85eb-5c29601e8285,false,
B34NX00,16ed5e59-40bb-3e05-b525-4ddfbb8fca13,false,
B12JR00,22c69328-70af-3e27-80c5-1a79e24903d2,false,
B20EY00,5c99d2a9-fbc6-3cc1-a97f-475015714afa,false,
B45GC00,62265a33-1522-3a99-ad3f-2c044cff9044,false,
B30PI00,14876ea1-5f7c-32ef-9fbd-aa0b63193550,false,
B43LV00,76313f91-4103-37d0-9eae-ce5bdf652986,false,
B46LN00,704e0cb1-edd6-3e88-a5ed-56e4e48a965e,false,
B45MH00,7123f3f5-92f8-3af4-8cf4-fbf22dec2c66,false,
B50BU00,86c63f57-c48b-34a9-9ba9-9893cddbfa72,false,
B01MN00,879ddc11-afd1-4f9a-b8fb-f466170ecdb2,false,
B01CE00,a25848d6-d96e-4a52-8c54-de55b6542afc,false,
B01DU00,c133d0de-c989-48b9-bd20-0431943e347e,false,
B01CN00,d5873aa4-7618-4a01-8914-cd41ff0bbdc1,false,
B01GQ00,ea023380-f927-49e0-ab09-2f08627cb127,false,
B10JJ00,102c59b7-f8d9-3888-8edd-347f4afb71e1,false,
B52CM00,1a359d44-6b52-3919-b052-065413e4a801,false,
B16HE00,813361c1-3a59-330b-85bb-5bd22814e51b,false,
B60ID00,72840e9d-1fa0-3980-8088-31f49bc40312,false,
B42CO00,87d087da-91bb-351c-922f-f47e3108c2c7,false,
B05BK00,9d5798b5-1fda-34cb-89de-3317f9b24c3e,false,
B22MZ00,a65fdaf9-e94e-349d-bd60-eb8a3b23f3dc,false,
B12GH00,9fdb72fc-0416-3a8f-95bd-cfc7e98426c2,false,
B55KL00,c18e51c1-e9eb-365c-92a4-8f3f10bbcb95,false,
B03DE00,c84cb65f-9db2-3532-91a5-bd34468e663e,false,
B20OQ00,e0276cca-1289-3b2a-a77d-46958f81eaa3,false,
B03AX00,202f69ef-29a7-3be1-87af-241f936ccf3a,false,
B53DJ00,394f75cb-ce37-352e-9426-632bcaaa9e9e,false,
B13CC00,3b9a61dd-d484-3ee7-a0b8-5954aea415bc,false,
B16BG00,dd22b110-7fbc-3036-a076-e4bb40d0a519,false,
B63IE00,8e453414-be05-3cd2-b568-d6957c0f0c9b,false,
B43AJ00,9b5cbf98-c78e-3c39-92ea-eeaea43cd9f7,false,
B61EH00,bfe68b2a-16c7-37dc-997f-5b4ada947d28,false,
B43IQ00,cf2ae997-9951-377d-8448-7ff4c50fdef6,false,
B04BP00,e1f5c483-466e-322a-8f04-8e32d1c8211b,false,
B50KH00,ea5b97f1-cbd0-3412-9998-a7580dc86edf,false,
B03OT00,fa28d4fe-23a7-3496-9697-e4b9defecbda,false,
B20BL00,fb423eb7-3f90-31ba-8ba1-984ff832ba53,false,
B50FI00,7b78f63c-52a0-3fc8-a0bc-0d9eb131bfca,false,
B07ED00,1d477ab6-1434-3419-bfa1-daaf6b6e843a,false,
B22KS00,39fe3360-b3b5-3285-a3df-a75feb4e463c,false,
B31JV00,4deaecb5-3b56-3674-b6f1-e2e465be97fc,false,
B47GL00,5289a961-b36a-3000-b09d-d2cdd9914dfd,false,
B16CJ00,533c2976-fefc-3a6f-a205-69c2dd479af7,false,
B63AD00,662d4ac8-ad0e-37dc-b25b-29c411ca3fdc,false,
B62MV00,e2c7c585-4748-322c-9148-125c5d9f7981,false,
B61NP00,fb046bcb-2329-3084-a6bb-c4d1934bd0ac,false,
B21DA00,6f6e0a54-367d-31f5-94c6-87e6c473a8f9,false,
B46DB00,7ab2c242-cdc0-3b44-bf18-f3df760ec6e3,false,
B04BQ00,958e6c90-dca4-3d61-9252-480e0daa3597,false,
B12LT00,f9586d1a-7727-3533-acca-4705d4416000,false,
B06OJ00,ffa8116b-86b6-3772-ad36-d7a154bd1362,false,
B13HD00,962c3466-f781-37fc-91ca-427160896aca,false,
B13HT00,b78d02fe-8b45-30f5-8550-e5ee2cd51ec6,false,
B63GN00,7ee13cc3-0db1-368d-809e-6abdba75f18e,false,
B42AZ00,7f9765ed-2371-3beb-9abb-502e27c49015,false,
B42MB00,8db9415d-ce8c-38aa-893b-34d592cf39f0,false,
B22GR00,bfadeef4-2fbf-39a0-bad4-8aab1124427d,false,
B16GB00,dc0029b1-ceca-3209-86a2-e662c703e1ce,false,
B06IS00,e6986943-68d9-36fc-bbd0-68fa32efdd4f,false,
B12PA00,ec7b89e8-d647-3d12-9eee-e5cd06a0533f,false,
B10LX00,edb3379f-e4c9-3bc9-956f-928adc233086,false,
B05PK00,0b9417b8-91b4-385d-9e01-069855777c4f,false,
B04CO00,1199b9c9-5b26-3de3-9c48-37d3c593d4a0,false,
B34JS00,9a85eeba-f5db-3338-b159-dd75e3b184f9,false,
B46DH00,12ce746b-069f-372e-912e-d109ad30775e,false,
B52OC00,1ab72b25-7073-355e-b835-32809842269d,false,
B44AG00,204d3dbb-a4d4-331b-a52c-07182c55d9bc,false,
B10JQ00,3be4e1f9-36a4-3080-bcb4-6da5975b4d6e,false,
B14AV00,ad7d1b2d-a7ca-3a88-9881-cebca96c3c17,false,
B33HU00,af5f6f16-a509-3882-82ec-5d94e562964f,false,
